185650001	0.0012366904	-0.837939	-11.966004
185651001	0.001553867	-0.749082	-9.902481
185652001	0.0018545806	-0.268040	-6.938285
185653001	0.0015056666	-0.358272	-3.289615
185654001	0.0013190712	-0.397317	-3.566329
185655001	0.0010074972	-0.728764	-4.466473
185656001	0.000880455	-0.558218	-3.772643
185657001	0.0005603174	-1.366772	-4.514005
185658001	0.0005506416	-1.530251	-6.676305
185659001	0.0006436508	-1.568383	-6.613251
185660001	0.0006389334	-1.509058	-6.662411
185661001	0.000366489	-1.863006	-8.787054
185662001	0.000276858	-1.868757	-7.083562
185663001	0.0001920918	-1.921984	-6.477400
185664001	0.0002524172	-1.228254	-4.975331
185665001	0.000186909	-1.514129	-6.350116
185666001	0.00019126	-1.688085	-6.330437
185667001	0.000200335	-1.868140	-6.287349
185668001	0.000278737	-1.586485	-4.029645
185669001	0.0002443676	-1.928075	-3.455084
185670001	0.0004656716	-1.390319	-0.724922
185671001	0.0004636946	-1.281437	1.265235
185672001	0.0005511664	-0.944960	1.478929
185673001	0.0005131942	-1.269901	1.409038
185674001	0.0004916462	-1.246963	0.839355
185675001	0.0004887014	-1.466848	-0.598138
185676001	0.0005867196	-1.371223	-0.223700
185677001	0.0004917576	-1.519338	-0.472577
185678001	0.0006075914	-1.415181	-2.742245
185679001	0.000505853	-1.596169	-2.335595
185680001	0.000269746	-1.974691	-1.628245
185681001	0.0002568654	-1.870763	-2.480005
185682001	0.0003846228	-1.625716	-3.714842
185683001	0.0005275434	-1.061321	-1.421684
185684001	0.0005495046	-0.582658	-1.321236
185685001	0.0007417294	-0.018777	-2.360260
185686001	0.0007571716	-0.482270	-2.444354
185687001	0.0006612718	-0.846642	-1.059760
185688001	0.0003608984	-1.411378	-1.280970
185689001	0.0004221352	-1.355692	-1.961551
185690001	0.0002584996	-1.866421	-0.789565
185691001	0.0003614772	-1.592815	0.032712
185692001	0.0003304038	-1.463480	-0.113176
185693001	0.0003568978	-1.694380	-0.000776
185694001	0.0002772514	-1.977381	0.581308
185695001	0.0004139026	-1.692588	-2.059268
185696001	0.000462164	-1.792934	-4.327115
185697001	0.0005085004	-1.746429	-6.106055
185698001	0.0007003622	-1.316909	-5.930810
185699001	0.0007505978	-1.305844	-5.907387
185700001	0.0008967658	-1.070703	-4.093035
185701001	0.0007224768	-1.150269	-1.814741
185702001	0.0009186066	-0.933837	0.496225
185703001	0.0008351134	-1.152036	0.498144
185704001	0.0009400928	-1.024258	-1.097453
185705001	0.000645791	-1.366800	-0.402256
185706001	0.0006170504	-1.306358	-2.167793
185707001	0.0004112206	-1.618889	-2.592779
185708001	0.0003338468	-1.777401	-4.589485
185709001	0.0004742792	-1.368508	-3.502939
185710001	0.0006365186	-1.161356	-3.238044
185711001	0.000586937	-1.164449	-3.733859
185712001	0.000628435	-1.104196	-3.842787
185713001	0.0006211452	-1.039941	-1.909731
185714001	0.0004895268	-1.252594	-4.743293
185715001	0.0003213458	-1.603612	-4.956070
185716001	0.0005594118	-1.152789	-4.088814
185717001	0.0007136662	-0.810802	-7.234738
185718001	0.000834049	-0.882194	-7.025465
185719001	0.0007179876	-1.125659	-3.475056
185720001	0.0007227716	-1.182453	-3.456971
185721001	0.0006827304	-1.322596	-2.915973
185722001	0.0005587054	-1.539583	-0.046102
185723001	0.0003873304	-1.489385	-0.483272
185724001	0.0004823828	-1.310673	-1.147444
185725001	0.0005442036	-0.912364	-1.219661
185726001	0.000679626	-0.747511	-0.366644
185727001	0.0006793422	-0.799768	-1.121113
185728001	0.0011397858	-1.200988	-9.671711
185729001	0.0010944034	-1.175687	-9.082829
185730001	0.0010310666	-1.287004	-9.088696
185731001	0.0008983512	-1.373353	-9.650494
185732001	0.0008909728	-1.362952	-8.735069
185733001	0.0004376358	-1.390466	-0.149154
185734001	0.0003364444	-1.689231	-0.307049
185735001	0.0003247592	-1.659772	-0.287527
185736001	0.0001244242	-2.104307	0.001080
185737001	2.57102e-05	-2.438393	0.124048
185738001	2.21702e-05	-2.408163	0.106524
185739001	0.0002266834	-1.641802	0.203295
185740001	0.0003223046	-1.305884	0.142625
185741001	0.0005284064	-0.654454	0.094406
185742001	0.0009287152	1.082113	0.248423
185743001	0.0011486638	1.199530	0.292303
185744001	0.0016401314	2.045773	0.256316
